DATE,CPIUFDNS
1974,55.11666667
1975,59.79166667
1976,61.63333333
1977,65.51666667
1978,72.05833333
1979,79.91666667
1980,86.775
1981,93.55833333
1982,97.35
1983,99.40833333
1984,103.2333333
1985,105.5666667
1986,108.9416667
1987,113.4833333
1988,118.175
1989,125.075
1990,132.3666667
1991,136.25
1992,137.8916667
1993,140.8583333
1994,144.275
1995,148.4166667
1996,153.2833333
1997,157.275
1998,160.6833333
1999,164.1
2000,167.8166667
2001,173.0833333
2002,176.2166667
2003,179.975
2004,186.175
2005,190.725
2006,195.175
2007,202.9159167
2008,214.1064167
2009,217.9550833
2010,219.6250833
2011,227.8415
2012,233.7773333
2013,237.0369167
2014,242.7245
2015,247.2348333
2016,247.93125
2017,250.0649167
2018,253.5581667
2019,258.3161667
2020,267.2193333
2021,277.7555833
